dataset,sid,key,group,scenario,split
d3,9000000000005717449,KIC 5717449,dsct_flag1,,holdout
d3,9000000000005721610,KIC 5721610,dsct_flag1,,dev
d3,9000000000005722737,KIC 5722737,dsct_flag1,,holdout
d3,9000000000005724523,KIC 5724523,dsct_flag1,,holdout
d3,9000000000005725312,KIC 5725312,dsct_flag1,,dev
d3,9000000000005725443,KIC 5725443,dsct_flag1,,holdout
d3,9000000000005727773,KIC 5727773,dsct_flag1,,holdout
d3,9000000000005728217,KIC 5728217,dsct_flag1,,holdout
d3,9000000000005728843,KIC 5728843,dsct_flag1,,holdout
d3,9000000000005734003,KIC 5734003,dsct_flag1,,holdout
d3,9000000000005735248,KIC 5735248,dsct_flag1,,dev
d3,9000000000005737104,KIC 5737104,dsct_flag1,,dev
d3,9000000000005771101,KIC 5771101,dsct_flag1,,holdout
d3,9000000000005788165,KIC 5788165,dsct_flag1,,holdout
d3,9000000000005791884,KIC 5791884,dsct_flag1,,dev
d3,9000000000005806877,KIC 5806877,dsct_flag1,,holdout
d3,9000000000005808231,KIC 5808231,dsct_flag1,,holdout
d3,9000000000005809732,KIC 5809732,dsct_flag1,,dev
d3,9000000000005816288,KIC 5816288,dsct_flag1,,dev
d3,9000000000005819178,KIC 5819178,dsct_flag1,,dev
d3,9000000000005880352,KIC 5880352,dsct_flag1,,dev
d3,9000000000005880445,KIC 5880445,dsct_flag1,,holdout
d3,9000000000005891196,KIC 5891196,dsct_flag1,,dev
d3,9000000000005891975,KIC 5891975,dsct_flag1,,holdout
d3,9000000000005900260,KIC 5900260,dsct_flag1,,dev
d3,9000000000005904699,KIC 5904699,dsct_flag1,,holdout
d3,9000000000005904928,KIC 5904928,dsct_flag1,,dev
d3,9000000000005950759,KIC 5950759,dsct_flag1,,holdout
d3,9000000000005966212,KIC 5966212,dsct_flag1,,dev
d3,9000000000005976681,KIC 5976681,dsct_flag1,,holdout
d3,9000000000005977984,KIC 5977984,dsct_flag1,,dev
d3,9000000000005978805,KIC 5978805,dsct_flag1,,holdout
d3,9000000000005980555,KIC 5980555,dsct_flag1,,holdout
d3,9000000000005982378,KIC 5982378,dsct_flag1,,dev
d3,9000000000005990706,KIC 5990706,dsct_flag1,,dev
d3,9000000000006041680,KIC 6041680,dsct_flag1,,dev
d3,9000000000006058006,KIC 6058006,dsct_flag1,,dev
d3,9000000000006061584,KIC 6061584,dsct_flag1,,dev
d3,9000000000006065351,KIC 6065351,dsct_flag1,,holdout
d3,9000000000006107117,KIC 6107117,dsct_flag1,,holdout
d3,9000000000006116172,KIC 6116172,dsct_flag1,,dev
d3,9000000000006127239,KIC 6127239,dsct_flag1,,holdout
d3,9000000000006130261,KIC 6130261,dsct_flag1,,holdout
d3,9000000000006130500,KIC 6130500,dsct_flag1,,dev
d3,9000000000006139591,KIC 6139591,dsct_flag1,,holdout
d3,9000000000006141503,KIC 6141503,dsct_flag1,,holdout
d3,9000000000006154326,KIC 6154326,dsct_flag1,,dev
d3,9000000000006211901,KIC 6211901,dsct_flag1,,holdout
d3,9000000000006220010,KIC 6220010,dsct_flag1,,dev
d3,9000000000006224312,KIC 6224312,dsct_flag1,,dev
d3,9000000000006226293,KIC 6226293,dsct_flag1,,holdout
d3,9000000000006230529,KIC 6230529,dsct_flag1,,holdout
d3,9000000000006230921,KIC 6230921,dsct_flag1,,holdout
d3,9000000000006231538,KIC 6231538,dsct_flag1,,dev
d3,9000000000006271512,KIC 6271512,dsct_flag1,,dev
d3,9000000000006290648,KIC 6290648,dsct_flag1,,dev
d3,9000000000006290877,KIC 6290877,dsct_flag1,,holdout
d3,9000000000006294556,KIC 6294556,dsct_flag1,,dev
d3,9000000000006310627,KIC 6310627,dsct_flag1,,holdout
d3,9000000000006314475,KIC 6314475,dsct_flag1,,holdout
d3,9000000000006357795,KIC 6357795,dsct_flag1,,holdout
d3,9000000000006366627,KIC 6366627,dsct_flag1,,holdout
d3,9000000000006384854,KIC 6384854,dsct_flag1,,dev
d3,9000000000006387257,KIC 6387257,dsct_flag1,,holdout
d3,9000000000006388443,KIC 6388443,dsct_flag1,,holdout
d3,9000000000006389098,KIC 6389098,dsct_flag1,,dev
d3,9000000000006441436,KIC 6441436,dsct_flag1,,dev
d3,9000000000006445601,KIC 6445601,dsct_flag1,,holdout
d3,9000000000006448173,KIC 6448173,dsct_flag1,,holdout
d3,9000000000006467349,KIC 6467349,dsct_flag1,,holdout
d3,9000000000006470922,KIC 6470922,dsct_flag1,,dev
d3,9000000000006520969,KIC 6520969,dsct_flag1,,holdout
d3,9000000000006522144,KIC 6522144,dsct_flag1,,dev
d3,9000000000006532022,KIC 6532022,dsct_flag1,,dev
d3,9000000000006541245,KIC 6541245,dsct_flag1,,holdout
d3,9000000000006547396,KIC 6547396,dsct_flag1,,dev
d3,9000000000006586020,KIC 6586020,dsct_flag1,,dev
d3,9000000000006586333,KIC 6586333,dsct_flag1,,holdout
d3,9000000000006595315,KIC 6595315,dsct_flag1,,holdout
d3,9000000000006604303,KIC 6604303,dsct_flag1,,holdout
d3,9000000000006627367,KIC 6627367,dsct_flag1,,holdout
d3,9000000000006631188,KIC 6631188,dsct_flag1,,dev
d3,9000000000006635493,KIC 6635493,dsct_flag1,,holdout
d3,9000000000006696050,KIC 6696050,dsct_flag1,,dev
d3,9000000000006707493,KIC 6707493,dsct_flag1,,holdout
d3,9000000000006719266,KIC 6719266,dsct_flag1,,dev
d3,9000000000006720889,KIC 6720889,dsct_flag1,,holdout
d3,9000000000006721089,KIC 6721089,dsct_flag1,,holdout
d3,9000000000006757160,KIC 6757160,dsct_flag1,,dev
d3,9000000000006780873,KIC 6780873,dsct_flag1,,holdout
d3,9000000000006806724,KIC 6806724,dsct_flag1,,dev
d3,9000000000006862840,KIC 6862840,dsct_flag1,,dev
d3,9000000000006871866,KIC 6871866,dsct_flag1,,dev
d3,9000000000006891998,KIC 6891998,dsct_flag1,,dev
d3,9000000000006922830,KIC 6922830,dsct_flag1,,dev
d3,9000000000006936178,KIC 6936178,dsct_flag1,,dev
d3,9000000000006951231,KIC 6951231,dsct_flag1,,holdout
d3,9000000000006955650,KIC 6955650,dsct_flag1,,dev
d3,9000000000006960727,KIC 6960727,dsct_flag1,,holdout
d3,9000000000006963490,KIC 6963490,dsct_flag1,,dev
d3,9000000000006964804,KIC 6964804,dsct_flag1,,dev
d3,9000000000006974847,KIC 6974847,dsct_flag1,,holdout
d3,9000000000007020707,KIC 7020707,dsct_flag1,,holdout
d3,9000000000007021890,KIC 7021890,dsct_flag1,,dev
d3,9000000000007031107,KIC 7031107,dsct_flag1,,holdout
d3,9000000000007035099,KIC 7035099,dsct_flag1,,holdout
d3,9000000000007035179,KIC 7035179,dsct_flag1,,holdout
d3,9000000000007045605,KIC 7045605,dsct_flag1,,holdout
d3,9000000000007047356,KIC 7047356,dsct_flag1,,dev
d3,9000000000007051690,KIC 7051690,dsct_flag1,,dev
d3,9000000000007101676,KIC 7101676,dsct_flag1,,dev
d3,9000000000007106877,KIC 7106877,dsct_flag1,,holdout
d3,9000000000007124161,KIC 7124161,dsct_flag1,,holdout
d3,9000000000007124680,KIC 7124680,dsct_flag1,,dev
d3,9000000000007174372,KIC 7174372,dsct_flag1,,dev
d3,9000000000007204794,KIC 7204794,dsct_flag1,,dev
d3,9000000000007214475,KIC 7214475,dsct_flag1,,holdout
d3,9000000000007219251,KIC 7219251,dsct_flag1,,holdout
d3,9000000000007219502,KIC 7219502,dsct_flag1,,dev
d3,9000000000007282228,KIC 7282228,dsct_flag1,,dev
d3,9000000000007297189,KIC 7297189,dsct_flag1,,holdout
d3,9000000000007300184,KIC 7300184,dsct_flag1,,dev
d3,9000000000007301435,KIC 7301435,dsct_flag1,,holdout
d3,9000000000007301640,KIC 7301640,dsct_flag1,,dev
d3,9000000000007302192,KIC 7302192,dsct_flag1,,dev
d3,9000000000007337049,KIC 7337049,dsct_flag1,,holdout
d3,9000000000007347529,KIC 7347529,dsct_flag1,,holdout
d3,9000000000007354531,KIC 7354531,dsct_flag1,,holdout
d3,9000000000007381616,KIC 7381616,dsct_flag1,,dev
d3,9000000000007455624,KIC 7455624,dsct_flag1,,dev
d3,9000000000007457355,KIC 7457355,dsct_flag1,,holdout
d3,9000000000007467185,KIC 7467185,dsct_flag1,,holdout
d3,9000000000007538543,KIC 7538543,dsct_flag1,,holdout
d3,9000000000007547573,KIC 7547573,dsct_flag1,,holdout
d3,9000000000007595579,KIC 7595579,dsct_flag1,,holdout
d3,9000000000007613422,KIC 7613422,dsct_flag1,,dev
d3,9000000000007621759,KIC 7621759,dsct_flag1,,holdout
d3,9000000000007621793,KIC 7621793,dsct_flag1,,holdout
d3,9000000000007687374,KIC 7687374,dsct_flag1,,dev
d3,9000000000007699276,KIC 7699276,dsct_flag1,,dev
d3,9000000000007750215,KIC 7750215,dsct_flag1,,holdout
d3,9000000000007750216,KIC 7750216,dsct_flag1,,dev
d3,9000000000007765585,KIC 7765585,dsct_flag1,,holdout
d3,9000000000007819024,KIC 7819024,dsct_flag1,,dev
d3,9000000000007838383,KIC 7838383,dsct_flag1,,holdout
d3,9000000000007841434,KIC 7841434,dsct_flag1,,dev
d3,9000000000007881851,KIC 7881851,dsct_flag1,,holdout
d3,9000000000007899980,KIC 7899980,dsct_flag1,,dev
d3,9000000000007901718,KIC 7901718,dsct_flag1,,dev
d3,9000000000007904642,KIC 7904642,dsct_flag1,,dev
d3,9000000000007909392,KIC 7909392,dsct_flag1,,dev
d3,9000000000007915386,KIC 7915386,dsct_flag1,,dev
d3,9000000000007917485,KIC 7917485,dsct_flag1,,holdout
d3,9000000000007918737,KIC 7918737,dsct_flag1,,holdout
d3,9000000000007937494,KIC 7937494,dsct_flag1,,dev
d3,9000000000007938180,KIC 7938180,dsct_flag1,,dev
d3,9000000000007956461,KIC 7956461,dsct_flag1,,holdout
d3,9000000000007977198,KIC 7977198,dsct_flag1,,dev
d3,9000000000007977956,KIC 7977956,dsct_flag1,,dev
d3,9000000000007989079,KIC 7989079,dsct_flag1,,holdout
d3,9000000000008004558,KIC 8004558,dsct_flag1,,dev
d3,9000000000008023217,KIC 8023217,dsct_flag1,,holdout
d3,9000000000008038679,KIC 8038679,dsct_flag1,,holdout
d3,9000000000008041675,KIC 8041675,dsct_flag1,,holdout
d3,9000000000008046010,KIC 8046010,dsct_flag1,,dev
d3,9000000000008052082,KIC 8052082,dsct_flag1,,dev
d3,9000000000008058127,KIC 8058127,dsct_flag1,,holdout
d3,9000000000008085273,KIC 8085273,dsct_flag1,,holdout
d3,9000000000008090059,KIC 8090059,dsct_flag1,,holdout
d3,9000000000008098120,KIC 8098120,dsct_flag1,,dev
d3,9000000000008120184,KIC 8120184,dsct_flag1,,dev
d3,9000000000008121586,KIC 8121586,dsct_flag1,,dev
d3,9000000000008122433,KIC 8122433,dsct_flag1,,holdout
d3,9000000000008123377,KIC 8123377,dsct_flag1,,holdout
d3,9000000000008123645,KIC 8123645,dsct_flag1,,holdout
d3,9000000000008125219,KIC 8125219,dsct_flag1,,holdout
d3,9000000000008127448,KIC 8127448,dsct_flag1,,dev
d3,9000000000008129588,KIC 8129588,dsct_flag1,,dev
d3,9000000000008144212,KIC 8144212,dsct_flag1,,dev
d3,9000000000008150307,KIC 8150307,dsct_flag1,,holdout
d3,9000000000008174267,KIC 8174267,dsct_flag1,,holdout
d3,9000000000008187917,KIC 8187917,dsct_flag1,,holdout
d3,9000000000008190872,KIC 8190872,dsct_flag1,,dev
d3,9000000000008196006,KIC 8196006,dsct_flag1,,dev
d3,9000000000008196381,KIC 8196381,dsct_flag1,,holdout
d3,9000000000008197220,KIC 8197220,dsct_flag1,,dev
d3,9000000000008197355,KIC 8197355,dsct_flag1,,holdout
d3,9000000000008228729,KIC 8228729,dsct_flag1,,holdout
d3,9000000000008235853,KIC 8235853,dsct_flag1,,holdout
d3,9000000000008244758,KIC 8244758,dsct_flag1,,dev
d3,9000000000008247116,KIC 8247116,dsct_flag1,,dev
d3,9000000000008248296,KIC 8248296,dsct_flag1,,dev
d3,9000000000008249829,KIC 8249829,dsct_flag1,,holdout
d3,9000000000008256621,KIC 8256621,dsct_flag1,,holdout
d3,9000000000008256643,KIC 8256643,dsct_flag1,,holdout
d3,9000000000008257115,KIC 8257115,dsct_flag1,,holdout
d3,9000000000008259061,KIC 8259061,dsct_flag1,,holdout
d3,9000000000008261157,KIC 8261157,dsct_flag1,,holdout
d3,9000000000008264546,KIC 8264546,dsct_flag1,,dev
d3,9000000000008264801,KIC 8264801,dsct_flag1,,holdout
d3,9000000000008264824,KIC 8264824,dsct_flag1,,dev
d3,9000000000008265244,KIC 8265244,dsct_flag1,,dev
d3,9000000000008265481,KIC 8265481,dsct_flag1,,holdout
d3,9000000000008282338,KIC 8282338,dsct_flag1,,dev
d3,9000000000008299332,KIC 8299332,dsct_flag1,,dev
d3,9000000000008308688,KIC 8308688,dsct_flag1,,dev
d3,9000000000008311110,KIC 8311110,dsct_flag1,,dev
d3,9000000000008314246,KIC 8314246,dsct_flag1,,dev
d3,9000000000008314525,KIC 8314525,dsct_flag1,,holdout
d3,9000000000008315263,KIC 8315263,dsct_flag1,,holdout
d3,9000000000008322016,KIC 8322016,dsct_flag1,,dev
d3,9000000000008322243,KIC 8322243,dsct_flag1,,holdout
d3,9000000000008323981,KIC 8323981,dsct_flag1,,holdout
d3,9000000000008329014,KIC 8329014,dsct_flag1,,dev
d3,9000000000008330102,KIC 8330102,dsct_flag1,,dev
d3,9000000000008330712,KIC 8330712,dsct_flag1,,dev
d3,9000000000008330778,KIC 8330778,dsct_flag1,,dev
d3,9000000000008330895,KIC 8330895,dsct_flag1,,holdout
d3,9000000000008330910,KIC 8330910,dsct_flag1,,dev
d3,9000000000008332193,KIC 8332193,dsct_flag1,,holdout
d3,9000000000008345453,KIC 8345453,dsct_flag1,,holdout
d3,9000000000008346686,KIC 8346686,dsct_flag1,,dev
d3,9000000000008357961,KIC 8357961,dsct_flag1,,holdout
d3,9000000000008376471,KIC 8376471,dsct_flag1,,holdout
d3,9000000000008391086,KIC 8391086,dsct_flag1,,dev
d3,9000000000008393922,KIC 8393922,dsct_flag1,,dev
d3,9000000000008395203,KIC 8395203,dsct_flag1,,holdout
d3,9000000000008396062,KIC 8396062,dsct_flag1,,dev
d3,9000000000008396791,KIC 8396791,dsct_flag1,,holdout
d3,9000000000008396901,KIC 8396901,dsct_flag1,,holdout
d3,9000000000008420644,KIC 8420644,dsct_flag1,,dev
d3,9000000000008429634,KIC 8429634,dsct_flag1,,dev
d3,9000000000008432962,KIC 8432962,dsct_flag1,,dev
d3,9000000000008452639,KIC 8452639,dsct_flag1,,holdout
d3,9000000000008460683,KIC 8460683,dsct_flag1,,holdout
d3,9000000000008461125,KIC 8461125,dsct_flag1,,holdout
d3,9000000000008500899,KIC 8500899,dsct_flag1,,holdout
d3,9000000000008504544,KIC 8504544,dsct_flag1,,dev
d3,9000000000008508096,KIC 8508096,dsct_flag1,,dev
d3,9000000000008516900,KIC 8516900,dsct_flag1,,dev
d3,9000000000008520436,KIC 8520436,dsct_flag1,,dev
d3,9000000000008523595,KIC 8523595,dsct_flag1,,holdout
d3,9000000000008524953,KIC 8524953,dsct_flag1,,holdout
d3,9000000000008560867,KIC 8560867,dsct_flag1,,holdout
d3,9000000000008571022,KIC 8571022,dsct_flag1,,dev
d3,9000000000008585472,KIC 8585472,dsct_flag1,,dev
d3,9000000000008620684,KIC 8620684,dsct_flag1,,dev
d3,9000000000008625580,KIC 8625580,dsct_flag1,,dev
d3,9000000000008640132,KIC 8640132,dsct_flag1,,dev
d3,9000000000008646235,KIC 8646235,dsct_flag1,,holdout
d3,9000000000008648251,KIC 8648251,dsct_flag1,,holdout
d3,9000000000008648866,KIC 8648866,dsct_flag1,,dev
d3,9000000000008649814,KIC 8649814,dsct_flag1,,dev
d3,9000000000008650819,KIC 8650819,dsct_flag1,,holdout
d3,9000000000008653563,KIC 8653563,dsct_flag1,,holdout
d3,9000000000008701099,KIC 8701099,dsct_flag1,,holdout
