WDJname,GaiaEDR3,RA_ICRS,DE_ICRS,Pwd,Gmag,BPmag,RPmag,sepsi,o_Gmag,RFG,sigma_G_nobs,in_core,forced_member,n_variants
WDJ160110.81+161827.19 ,1199164627209299584,240.29506572583,16.30751223695,0.998833,17.7829,17.6205,17.889,9.214404,317,484.995,0.039858,True,False,4
WDJ155226.38+181018.69 ,1202826348825240832,238.10918727469,18.17237692658,0.998343,14.8158,14.7907,14.908,5.82566,373,1329.433,0.015773,False,False,2
WDJ160115.85+210622.70 ,1205863230004087808,240.31621893463,21.10625008307,0.985555,17.6221,17.4182,17.2514,0.472981,551,736.033,0.034626,True,False,4
WDJ151500.57+191619.69 ,1212352655004983808,228.7523381971,19.27213266866,0.799043,17.8454,17.7971,17.8882,0.0,351,82.087,0.247801,True,False,4
WDJ151322.58+192810.61 ,1212395535957392256,228.34398602668,19.4695958337,0.84653,17.5732,17.3455,17.3531,5.445904,334,527.124,0.037643,True,False,4
WDJ151736.18+224822.80 ,1215329685816059520,229.40088072282,22.80614324031,0.996123,17.2003,17.2444,17.1875,0.221566,323,669.417,0.029149,True,False,4
WDJ153507.90+252118.56 ,1222226436929209472,233.78280515977,25.3549733695,0.995821,17.5784,17.5981,17.5065,0.0,595,574.506,0.046099,True,False,4
WDJ153938.12+270605.84 ,1223988576107848832,234.90870693278,27.10159004739,0.95495,16.5803,16.4688,16.7776,2.841711,990,1128.742,0.030265,True,False,4
WDJ033958.55+094911.40 ,12254267546754176,54.99402565256,9.81986369185,0.989794,16.5363,16.5366,16.5911,1.178292,310,833.314,0.022940,True,False,4
WDJ143406.77+150817.81 ,1228266814506156928,218.52805085392,15.13822919709,0.999274,16.0072,15.9863,16.0857,0.743857,262,946.631,0.018565,False,False,2
WDJ142320.15+140608.73 ,1228505472953481728,215.8337517008,14.10250517392,0.99558,17.3906,17.4453,17.3916,0.036298,311,568.19,0.033699,True,False,4
WDJ142528.81+142059.39 ,1228541795492213248,216.36992397749,14.34968470273,0.999671,16.6826,16.5915,16.7558,10.327886,287,657.525,0.027974,True,False,4
WDJ141022.11+175232.63 ,1233399644022323712,212.59196779286,17.87556214161,0.99435,17.7426,17.8001,17.73,0.0,326,488.216,0.040153,True,False,4
WDJ142914.44+173219.18 ,1235533276400203776,217.31001403662,17.53861011275,0.996917,17.8156,17.8725,17.8327,0.0,293,481.981,0.038559,True,False,4
WDJ140128.15+182006.12 ,1245635078135991296,210.36713218697,18.3349420169,0.99565,17.816,17.8904,17.7967,0.0,453,685.943,0.033689,True,False,4
WDJ135704.68+192133.34 ,1246692121126938240,209.26963039951,19.35922007677,0.999028,16.8491,16.8348,16.9114,0.0,372,917.991,0.022812,True,False,4
WDJ150939.99+215015.77 ,1261751715280478848,227.4162878439,21.83757600625,0.999737,14.9772,14.8959,15.1585,8.198859,270,1091.12,0.016351,True,False,4
WDJ145134.21+252222.30 ,1267342736203088128,222.89253602995,25.372853319,0.890791,17.2979,17.1282,17.7201,5.261014,553,742.103,0.034405,True,False,4
WDJ154315.11+302133.36 ,1273088783971336576,235.81261318045,30.35960370857,0.996961,16.879,16.838,16.9522,0.413534,608,1027.925,0.026044,True,False,4
WDJ152935.00+292801.95 ,1273456463234876288,232.39546190293,29.46718626414,0.994205,17.4862,17.5439,17.4574,0.286404,728,851.041,0.034422,True,False,4
WDJ144007.60+315413.02 ,1286055427676135808,220.03165616361,31.90365241465,0.992266,17.3088,17.132,17.6995,4.664563,831,735.176,0.042573,True,False,4
WDJ163010.18+231735.06 ,1298959742817221760,247.54250200187,23.29289403919,0.997722,17.5824,17.5892,17.594,5.058972,763,922.395,0.032514,True,False,4
WDJ163411.33+281211.59 ,1304881884242947200,248.54682617173,28.20344333876,0.999827,16.6527,16.5706,16.7594,4.8115,498,1090.934,0.022210,True,False,4
WDJ022228.39+283007.72 ,130960218644587136,35.61821822709,28.50209793139,0.972167,17.0565,17.0233,16.9541,6.753515,189,460.076,0.032443,True,False,4
WDJ162436.81+321252.81 ,1325292217371985024,246.15378314875,32.21429313573,0.996778,16.7055,16.7442,16.6975,0.0,429,561.733,0.040033,True,False,4
WDJ172206.82+360229.55 ,1336712848946493952,260.52885272584,36.04160074129,0.998791,15.2795,15.2609,15.3189,14.728176,406,1315.319,0.016632,False,False,2
WDJ171955.76+363936.32 ,1336988963803208192,259.98169817734,36.65784990791,0.941302,16.9534,17.0261,15.9274,1.340321,411,885.929,0.024845,True,False,4
WDJ170055.38+354951.09 ,1338943341425719168,255.23030586386,35.83056554287,0.997696,17.3374,17.3798,17.3889,0.0,422,427.735,0.052144,True,False,4
WDJ172240.63+395811.92 ,1346883876962000000,260.66923283878,39.96965897132,0.992807,17.8118,17.8262,17.7845,0.0,386,645.455,0.033049,True,False,4
WDJ174356.73+443852.18 ,1350121285870820352,265.98639743597,44.64807387823,0.997143,17.2931,17.3344,17.2841,0.565774,314,517.048,0.037210,True,False,4
WDJ170847.69+424100.56 ,1355161726346266112,257.19863655087,42.68357795039,0.976935,16.6479,16.4518,17.0266,4.925126,343,662.736,0.030341,True,False,4
WDJ024927.57+325112.43 ,136610338318092544,42.36522948636,32.85322145619,0.997427,16.0612,16.0782,16.0463,0.0,236,452.166,0.036888,True,False,4
WDJ160123.19+364834.29 ,1372458109403442432,240.34717326879,36.80710083127,0.996602,14.4081,14.4375,14.3873,4.029548,395,875.393,0.024650,True,False,4
WDJ153456.44+350534.73 ,1374086241309961600,233.73503338797,35.09318577428,0.998006,17.7683,17.8021,17.7967,0.0,481,519.73,0.045816,True,False,4
WDJ030710.82+342727.33 ,137744793799623680,46.79540959156,34.45741660033,0.997326,17.3722,17.4139,17.3728,0.048364,224,348.887,0.046576,True,False,4
WDJ151343.51+443436.25 ,1395293935119779584,228.43127095654,44.57678393513,0.990859,17.392,17.3007,17.5731,0.0,426,735.587,0.030465,True,False,4
WDJ163914.29+474835.84 ,1410345596469085184,249.80937742578,47.81018003151,0.997545,17.762,17.8052,17.7766,0.0,361,335.25,0.061533,True,False,4
WDJ164531.42+485949.06 ,1411939063696260736,251.38085726043,48.99705239426,0.997042,17.8712,17.9061,17.8692,0.0,383,647.618,0.032810,True,False,4
WDJ171743.52+515840.07 ,1415911839725510528,259.4312862747,51.97775641101,0.87891,17.5857,17.4161,17.5849,1.775606,334,622.653,0.031868,True,False,4
WDJ024830.32+372526.22 ,141730416074813312,42.12627022904,37.42378203996,0.996737,17.1907,17.2279,17.182,0.0,234,462.952,0.035875,True,False,4
WDJ172406.13+562003.08 ,1420761029600606592,261.02560586895,56.33418680011,0.907983,16.2582,16.1917,16.2958,1.958994,335,390.901,0.050837,True,False,4
WDJ162024.49+522321.08 ,1425130935485979520,245.10244055914,52.38911260358,0.999274,15.6345,15.5624,15.6841,10.923848,353,1147.922,0.017770,True,False,4
WDJ163612.33+525408.22 ,1425758000710501248,249.05129115356,52.90240382292,0.998918,15.8559,15.4787,15.8796,10.22693,263,746.777,0.023578,True,False,4
WDJ162458.18+540429.97 ,1428369955006868352,246.24263716223,54.07468268562,0.994781,17.9104,17.9467,17.9239,0.103879,318,470.637,0.041139,True,False,4
WDJ164438.39+565841.79 ,1430581420783430528,251.16000519415,56.9784228427,0.997678,17.7975,17.828,17.807,0.0,319,505.775,0.038341,True,False,4
WDJ173426.55+582431.90 ,1434462314576560512,263.61073418703,58.40913303956,0.970571,17.8118,17.8596,17.6863,7.611114,300,428.44,0.043893,True,False,4
WDJ133740.75+213217.11 ,1441779328237646720,204.41985902774,21.53786080462,0.999739,17.4658,17.381,17.5915,0.0,611,959.225,0.027979,True,False,4
WDJ133617.60+254141.11 ,1445074014829920000,204.07256535308,25.69501595366,0.914987,17.9259,17.901,17.0288,0.0,514,600.356,0.041001,True,False,4
WDJ133017.09+283410.17 ,1449829295245251968,202.57112582624,28.56947550483,0.999182,16.2204,15.9694,16.0518,7.120253,524,837.868,0.029663,True,False,4
WDJ135610.10+320146.94 ,1457566425425140864,209.04144971028,32.02990334332,0.99647,16.1262,15.9625,15.8964,7.595232,375,909.825,0.023109,True,False,4
WDJ124740.10+303007.41 ,1465214177336901376,191.91707031021,30.50177902196,0.992304,17.9108,18.0947,17.6283,0.0,335,570.615,0.034826,True,False,4
WDJ132614.47+343111.49 ,1470268533506847744,201.55976713511,34.51955257114,0.995413,17.6594,17.622,17.6547,13.991695,797,887.028,0.034555,True,False,4
WDJ130957.68+350947.19 ,1474090607723007104,197.48908991529,35.16320678611,0.997963,15.3223,15.3397,15.3051,0.0,483,933.766,0.025554,True,False,4
WDJ132952.65+392150.38 ,1476652053203050368,202.46927798176,39.36411513007,0.999596,17.9757,17.8682,18.1774,0.0,786,789.657,0.038548,True,False,4
WDJ141201.54+340427.09 ,1479182789667845376,213.00610394626,34.07430080119,0.997458,17.9153,17.6097,17.6401,1.343092,629,474.159,0.057428,True,False,4
WDJ141531.30+392357.57 ,1485679322841561728,213.87959389661,39.39944777941,0.997164,17.063,17.092,17.053,0.0,673,685.97,0.041061,True,False,4
WDJ134426.85+440833.30 ,1503131458592587264,206.11185719181,44.1425420402,0.99346,16.6319,16.465,16.9478,8.302539,598,1228.392,0.021614,True,False,4
WDJ133914.87+454306.48 ,1503577310557364992,204.81151512636,45.718460407,0.996076,17.4873,17.526,17.4604,0.639447,617,966.234,0.027912,True,False,4
WDJ141325.12+430858.62 ,1504338718064197760,213.35456652847,43.14969121179,0.98349,17.2315,16.7916,16.7566,4.054012,565,556.124,0.046406,True,False,4
WDJ135309.97+484021.17 ,1510467090935595008,208.29174439028,48.67240168267,0.999592,16.6782,16.5858,16.877,3.119074,531,749.43,0.033384,True,False,4
WDJ135724.00+495903.26 ,1510650503218915968,209.34974915866,49.98437012406,0.999645,17.0667,17.0001,17.1476,2.884811,445,835.945,0.027398,True,False,4
WDJ122635.57+361346.93 ,1519336713796357248,186.64763957012,36.22951948607,0.99747,17.7278,17.761,17.7342,0.0,382,525.665,0.040369,True,False,4
WDJ041856.64+271748.31 ,152371871863155840,64.73630400037,27.2964303928,0.99687,15.0304,15.051,15.0157,4.610676,420,599.386,0.037123,True,False,4
WDJ125724.06+422054.42 ,1527701145426221824,194.34995311458,42.34818741165,0.868679,17.4421,17.2683,17.6691,13.78596,543,508.686,0.049736,True,False,4
WDJ042821.59+290320.76 ,153053427336817152,67.08990279521,29.05573178436,0.995784,17.6762,17.7353,17.6413,0.0,316,533.551,0.036174,True,False,4
WDJ123752.23+415624.69 ,1534384148897669248,189.46554407786,41.94173712937,0.994595,17.1287,17.5424,16.5637,2.57796,584,763.839,0.034350,True,False,4
WDJ124341.75+480534.46 ,1543370904111505408,190.92339359368,48.09304464717,0.996789,16.9771,16.9679,17.0252,0.089018,702,1190.213,0.024170,True,False,4
WDJ121929.50+471522.94 ,1545014807135001088,184.87215773939,47.2563566289,0.992389,17.5288,17.6838,17.245,1.534502,905,1022.946,0.031930,True,False,4
WDJ125526.34+475719.25 ,1555179177955997440,193.85911974772,47.955176411,0.999247,16.5427,16.5148,16.6315,2.448336,630,1310.409,0.020796,False,False,2
WDJ133941.14+484727.47 ,1558322303741820928,204.92117574658,48.79099448008,0.989349,17.3695,17.398,17.3165,0.0,575,502.995,0.051760,True,False,4
WDJ135120.25+545742.59 ,1561515526026874624,207.83499980641,54.96176721046,0.998251,15.8296,15.8454,15.8424,1.581336,527,1403.731,0.017756,False,False,2
WDJ124306.46+580851.28 ,1578040258079246592,190.77648439789,58.1475683811,0.990492,17.7836,17.6513,17.5796,2.953092,440,708.074,0.032164,True,False,4
WDJ124407.67+582351.90 ,1578072075196957696,191.03188828516,58.3977028932,0.998628,17.1348,16.9797,17.4063,7.257459,445,749.829,0.030545,True,False,4
WDJ145322.67+435505.51 ,1586418811560728192,223.34422815111,43.91834214205,0.909106,16.6597,16.3154,16.1425,10.191163,357,823.121,0.024923,True,False,4
WDJ150945.35+454624.42 ,1587611884756030720,227.43834506626,45.77379016936,0.997179,16.4564,16.4784,16.4304,0.626801,397,789.431,0.027403,True,False,4
WDJ152356.59+542256.80 ,1599573471755615872,230.98570891563,54.38250197521,0.999587,17.6993,17.6096,17.9217,0.981168,481,776.109,0.030681,True,False,4
WDJ152809.27+553914.49 ,1601328670269782400,232.03816750202,55.65449144326,0.977431,17.0913,17.1462,17.0356,0.936484,441,584.88,0.038983,True,False,4
WDJ143047.25+510730.35 ,1604590130995452032,217.69664836828,51.12530241814,0.997171,17.386,17.427,17.3826,0.0,508,593.638,0.041223,True,False,4
WDJ044258.31+323715.63 ,161359000733439488,70.7431418318,32.62088672651,0.993197,17.3693,17.4066,17.2937,0.0,412,447.168,0.049284,True,False,4
WDJ144823.77+572454.62 ,1613754148095692800,222.09868492393,57.41505573434,0.997237,17.4215,17.456,17.4203,0.0,510,681.07,0.036001,True,False,4
WDJ145323.52+595056.24 ,1617418957790376576,223.34755071572,59.8488449367,0.998053,17.1562,17.179,17.1738,0.0,507,703.248,0.034763,True,False,4
WDJ155513.93+564710.67 ,1622509593546662784,238.8080401643,56.7863348165,0.958711,17.3375,17.172,17.5329,4.860405,325,602.16,0.032505,True,False,4
WDJ155517.49+580637.83 ,1622933901956297856,238.82280751273,58.11034854756,0.92675,16.8911,16.7981,17.0173,4.597088,337,629.23,0.031676,True,False,4
WDJ163358.75+591206.59 ,1624129483413023360,248.49491619393,59.20201469264,0.997245,17.1255,17.1697,17.1366,0.264873,270,488.459,0.036524,True,False,4
WDJ171113.00+654158.28 ,1632472715084508800,257.80469790255,65.69925895793,0.995633,16.9473,16.9892,16.953,0.0,793,1258.739,0.024290,True,False,4
WDJ154144.89+645352.98 ,1641326979142898048,235.43717275348,64.89776678283,0.997495,15.5759,15.5928,15.5636,0.143693,529,587.666,0.042493,True,False,4
WDJ165151.63+705312.69 ,1650240032714843008,252.96517229565,70.88673561762,0.998642,17.9451,17.8256,18.131,3.365363,313,371.861,0.051655,True,False,4
WDJ140518.73+594125.39 ,1660083749863708800,211.32838726884,59.69015978687,0.997048,17.9579,17.9723,17.9358,1.611827,362,561.577,0.036785,True,False,4
WDJ141557.87+623046.51 ,1666750569898974208,213.99099340506,62.51289287329,0.96574,17.7689,17.8603,17.675,2.519855,345,634.994,0.031759,True,False,4
WDJ141722.69+630353.79 ,1667610770243901568,214.34515949965,63.06469839787,0.996454,17.9568,18.0093,17.961,0.0,390,457.066,0.046911,True,False,4
WDJ141419.54+704554.50 ,1674958389840474496,213.58197178525,70.76496559055,0.996216,17.1618,17.197,17.1317,0.207977,344,619.477,0.032507,True,False,4
WDJ132332.24+711453.65 ,1687736059280811008,200.88382394614,71.24843699027,0.9965,17.4686,17.5001,17.4493,0.0,330,550.867,0.035804,True,False,4
WDJ151646.42+735206.96 ,1697669356564165632,229.1932702994,73.86864893115,0.969203,16.6264,16.4319,17.0027,6.264485,291,778.975,0.023776,True,False,4
WDJ141353.96+713612.59 ,1699066870202540288,213.47387473955,71.60356756302,0.99221,16.991,17.0254,16.9844,0.562953,369,792.935,0.026303,True,False,4
WDJ165710.91+801137.32 ,1709387775398437760,254.29533053566,80.19379676541,0.963571,16.8304,16.73,17.0039,4.483617,434,905.744,0.024973,True,False,4
WDJ143755.28+785148.62 ,1714635091562696320,219.48022859322,78.86350791199,0.995012,17.7437,17.8443,17.6448,0.855665,329,625.848,0.031467,True,False,4
WDJ120144.57+800459.70 ,1717969674107797760,180.43074334552,80.08300465894,0.997961,16.0183,16.0316,16.0031,0.210477,348,558.51,0.036265,True,False,4
WDJ132845.71+811853.14 ,1719109695867245312,202.19136488095,81.31473154767,0.999569,17.8347,17.7453,18.0469,0.0,348,542.844,0.037311,True,False,4
WDJ153028.82+874848.48 ,1728880879608190592,232.61305319531,87.8135757349,0.990258,15.5976,15.4181,15.9432,14.826447,413,619.989,0.035589,True,False,4
WDJ043338.11+335337.68 ,172978953148524160,68.40881239811,33.89386446125,0.996807,17.6887,17.6989,17.6949,1.87845,240,540.484,0.031121,True,False,4
WDJ205214.06+035833.79 ,1734149262590636800,313.05866824989,3.975787891,0.999513,17.2113,17.1099,17.4471,2.889719,510,946.896,0.025894,True,False,4
WDJ211736.85+065525.94 ,1739636512805502976,319.40363030751,6.92386968651,0.983115,17.9755,17.8914,17.7338,3.394876,352,569.978,0.035739,True,False,4
WDJ212128.17+072416.72 ,1740097341320384000,320.36753582671,7.40483347232,0.982225,17.5894,17.67,17.4051,5.17351,347,684.539,0.029545,True,False,4
WDJ203750.60+061227.67 ,1747832062024486912,309.46104352533,6.2074352818,0.99701,16.4154,16.4431,16.4012,0.0,383,849.002,0.025027,True,False,4
WDJ202932.51+070107.70 ,1748833236082347136,307.38548293134,7.01881287588,0.943109,16.6243,16.4839,16.8952,5.212273,391,787.055,0.027278,True,False,4
WDJ204307.43+121926.72 ,1755145979013455872,310.78110097518,12.32406472783,0.997015,17.9103,17.952,17.8983,0.0,448,506.118,0.045406,True,False,4
WDJ202914.24+122817.11 ,1755694777053825792,307.30933834212,12.47131371024,0.948314,17.8226,17.7319,18.0114,0.0,304,441.559,0.042872,True,False,4
WDJ204845.82+133354.86 ,1761356059346267648,312.19102435498,13.56516703755,0.999719,16.6534,16.5471,16.7982,6.317205,760,1227.516,0.024384,True,False,4
WDJ214128.28+114622.57 ,1766702297192943488,325.36886484368,11.77286552096,0.999758,15.8906,15.8539,15.9997,0.923307,275,1003.626,0.017940,False,False,2
WDJ215151.11+153653.56 ,1769711243905794560,327.96300620436,15.61477320613,0.933787,16.5238,16.3735,16.8146,3.367626,303,764.728,0.024714,True,False,4
WDJ042017.25+361627.27 ,177368203568437120,65.07199642574,36.27297335961,0.995894,15.6661,15.6906,15.6391,0.0,236,549.717,0.030342,True,False,4
WDJ221512.18+213905.52 ,1781896688895465344,333.80080678726,21.65149097474,0.99823,16.2434,16.0989,16.5438,5.28271,196,736.675,0.020634,True,False,4
WDJ220939.41+214751.18 ,1782043950438695808,332.41444788819,21.79754399641,0.99734,17.6038,17.6525,17.6127,0.0,181,471.62,0.030972,True,False,4
WDJ043405.03+391125.34 ,178949262640226176,68.5212528531,39.18987398258,0.992059,17.6512,17.7149,17.5857,0.389181,396,699.727,0.030878,True,False,4
WDJ214446.87+242445.64 ,1794680225259350144,326.1955034562,24.41288301594,0.996794,17.7374,17.7749,17.7192,0.0,248,473.034,0.036146,True,False,4
WDJ214854.21+245754.54 ,1796210023892145408,327.22674983733,24.9652024978,0.991348,17.8997,17.8749,17.6399,8.958794,210,421.217,0.037353,True,False,4
WDJ213959.16+244011.56 ,1797734879016276096,324.99652983776,24.66983137669,0.967154,17.3414,17.1994,17.7064,2.281447,210,501.225,0.031391,True,False,4
WDJ214725.82+271120.56 ,1800112366754245376,326.85765505312,27.18904558545,0.996931,17.7347,17.7706,17.7152,0.0,292,498.397,0.037225,True,False,4
WDJ214313.38+282717.41 ,1801198478081592192,325.80604286619,28.45507215323,0.999464,17.9066,17.7088,17.8661,8.643036,407,655.196,0.033431,True,False,4
WDJ200529.23+135917.81 ,1806429851344290560,301.37200197757,13.98822788558,0.953671,17.7258,17.6728,17.2954,0.031113,492,781.247,0.030826,True,False,4
WDJ195952.94+143534.17 ,1807309147099442432,299.97056638131,14.59281778698,0.993806,17.512,17.3542,17.8537,0.42471,457,631.833,0.036735,True,False,4
WDJ200937.02+165219.12 ,1809460380271929344,302.40437649579,16.87210170327,0.949376,16.7903,16.7595,16.7701,0.0,545,302.716,0.083731,True,False,4
WDJ200736.50+174214.73 ,1809844934461976832,301.90243261138,17.7039844424,0.985576,15.181,15.2275,15.0572,0.659151,433,323.806,0.069772,True,False,4
WDJ201459.75+184544.26 ,1810340947334738944,303.74865574787,18.76228775508,0.998969,17.977,17.9479,18.038,9.06926,567,683.167,0.037843,True,False,4
WDJ203728.70+145353.15 ,1810475401285228928,309.36951549985,14.89793119394,0.999566,15.1498,15.0457,15.3379,7.587782,321,1074.632,0.018102,True,False,4
WDJ203804.29+234059.97 ,1819329248736952704,309.51797991988,23.68318545148,0.996963,17.1561,17.1807,17.1264,0.0,400,374.141,0.058039,True,False,4
WDJ193725.67+201558.07 ,1825570630817994112,294.3567620952,20.26605485943,0.913933,16.7743,16.7356,16.5266,0.0,400,909.255,0.023882,True,False,4
WDJ201055.49+233421.48 ,1830536094036524032,302.73067819483,23.57227838146,0.998093,17.8759,17.8918,17.8878,0.0,521,663.821,0.037333,True,False,4
WDJ053628.03+353229.19 ,183138612392838784,84.11686096432,35.54141769641,0.999726,17.8694,17.8183,17.9924,1.53579,213,474.584,0.033389,True,False,4
WDJ205521.32+223811.07 ,1839072118176095744,313.8387713599,22.6363676321,0.934687,17.366,17.3404,17.4097,0.160204,515,480.719,0.051255,True,False,4
WDJ210452.73+233321.42 ,1840865211187303424,316.21952939121,23.55534846232,0.997373,15.9849,16.0056,15.9741,0.0,336,667.855,0.029800,True,False,4
WDJ205904.51+252333.81 ,1844311394160744960,314.768964492,25.39268724272,0.999306,16.841,16.8581,17.0063,0.0,476,1035.902,0.022867,True,False,4
WDJ211119.44+315846.43 ,1853123945507031808,317.83099397469,31.97951937115,0.779206,17.9692,17.9253,18.0692,0.0,823,660.825,0.047134,True,False,4
WDJ205209.52+294430.92 ,1858595974363522304,313.0397324797,29.74196889341,0.955017,17.4135,17.2279,17.6599,2.357144,942,988.5,0.033711,True,False,4
WDJ203737.79+323833.34 ,1862796379351925888,309.40762275518,32.64266232684,0.982343,17.4627,17.5143,17.422,0.0,539,727.478,0.034650,True,False,4
WDJ202841.38+325837.35 ,1863757043284422784,307.17233311789,32.97699744788,0.919629,17.4541,17.3127,17.6747,2.018904,472,131.27,0.179692,True,False,4
WDJ050215.07+381424.71 ,186863929583753856,75.56290195223,38.24025099232,0.999653,16.8957,16.8195,17.0337,0.0,393,866.147,0.024850,True,False,4
WDJ205925.47+354837.24 ,1869749145436680576,314.85616729037,35.81034308638,0.994347,17.8699,17.7486,18.1817,0.0,518,521.137,0.047417,True,False,4
